step,walltime,_timestamp,train/rep_ent
270880,2025-05-19 16:44:00.384345055,1747673040.384345,37.98666371432218
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,38.06162863808709
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,38.1471712147748
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,38.1922757582231
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,38.24879429361842
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,38.33537454605103
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,38.41122392705969
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,38.51728173282659
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,38.55731527588584
302528,2025-05-19 17:02:06.410092115,1747674126.410092,38.57210130519695
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,38.638590049743655
