step,walltime,_timestamp,train/slowval
270880,2025-05-19 16:44:00.384345055,1747673040.384345,300.66066412492233
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,302.17794435518283
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,303.7913971653691
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,305.43284270546656
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,306.8631084888905
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,308.1423168875954
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,309.5519213289828
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,310.72098569780866
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,311.63904488303444
302528,2025-05-19 17:02:06.410092115,1747674126.410092,312.9133042687768
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,314.12694018970836
