step,walltime,_timestamp,train/adv_mag
263840,2025-05-19 16:39:59.766632080,1747672799.766632,0.06272211476991123
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,0.06253116133792157
270880,2025-05-19 16:44:00.384345055,1747673040.384345,0.06202576410194689
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,0.060883868330468736
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,0.06014636875112989
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,0.05902291024950418
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,0.058509191594648735
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,0.058284797151149675
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,0.057464411104651725
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,0.057253144363759556
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,0.056739262529564176
