step,walltime,_timestamp,train/loss/velocity
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,0.6707378596335918
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,0.6590128253037865
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,0.659004134549336
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,0.6557220973979647
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,0.6384361632168293
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,0.6333691371051041
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,0.6253429704958254
228672,2025-05-19 16:19:53.873765945,1747671593.873766,0.6327903448282001
232224,2025-05-19 16:21:55.888797998,1747671715.888798,0.6290585183211275
235744,2025-05-19 16:23:55.148148060,1747671835.148148,0.6131499696184288
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,0.6066670951743921
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,0.599576607413657
246240,2025-05-19 16:29:56.853270054,1747672196.85327,0.6033983544780398
249792,2025-05-19 16:31:58.693293095,1747672318.693293,0.5938185225870158
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,0.589390646734021
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,0.5894879019139586
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,0.5989229081336547
263840,2025-05-19 16:39:59.766632080,1747672799.766632,0.5910075077279048
