step,walltime,_timestamp,train/opt/loss
270880,2025-05-19 16:44:00.384345055,1747673040.384345,22.560885128107937
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,22.45685938027528
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,22.644944056316657
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,22.562363893335515
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,22.305254390647818
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,22.253455170718105
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,22.323103597572256
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,22.304629693521516
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,22.125261876799843
302528,2025-05-19 17:02:06.410092115,1747674126.410092,22.0444217093356
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,22.14528577977961
