step,walltime,_timestamp,train/loss/image
270880,2025-05-19 16:44:00.384345055,1747673040.384345,11.314983736384999
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,11.213978334590122
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,11.214723027414745
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,11.129105706648392
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,10.960433560448724
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,10.850575878403404
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,10.835152778539571
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,10.743058597930125
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,10.71253840489821
302528,2025-05-19 17:02:06.410092115,1747674126.410092,10.61759126132673
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,10.655145032297481
