step,walltime,_timestamp,train/ret_max
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,1.0790305691009219
270880,2025-05-19 16:44:00.384345055,1747673040.384345,1.0760233175348153
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,1.0770489034486246
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,1.0755958918620039
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,1.069614824923602
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,1.0692947941857416
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,1.0673805322836747
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,1.067308032029384
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,1.0677054305778486
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,1.0672691085121848
