step,walltime,_timestamp,train/loss/rep
270880,2025-05-19 16:44:00.384345055,1747673040.384345,8.079800521243703
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,8.032910262142217
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,8.142713766407084
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,8.100315981019627
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,7.993920152788764
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,8.01969968568195
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,8.068332988936621
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,8.114389913661457
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,7.976889769597487
302528,2025-05-19 17:02:06.410092115,1747674126.410092,7.984723566888689
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,8.031347712061622
